,ლანჩხუთი,თბილისი,ოზურგეთი,ქუთაისი,blank,ხაშური,ჭიათურა,ადიგენი,ბოლნისი,საგარეჯო,ჩოხატაური,წყალტუბო,OCCUPIED,დმანისი,საჩხერე,ფოთი,ხელვაჩაური,ახალციხე,მარნეული,გურჯაანი,რუსთავი,გარდაბანი,თელავი,ნინოწმინდა,ახალქალაქი,ჩხოროწყუ,მცხეთა,ზუგდიდი,სამტრედია,ბაღდათი,მარტვილი,კასპი,ზესტაფონი,ამბროლაური,ვანი,ტყიბული,ყვარელი,გორი,ლაგოდეხი,თეთრიწყარო,ცაგერი,ხონი,წალკა,თიანეთი,დუშეთი,თერჯოლა,ქარელი,ცხინვალი,სიღნაღი,დედოფლისწყარო,სენაკი,ბორჯომი,ახმეტა,ლენტეხი,მესტია,ხობი,ასპინძა,ხარაგაული,ყაზბეგი,OCCUPIEDABKH,ახალგორი,წალენჯიხა,ონი
36,0.0,20.32,0.29,0.0,0.0,4.51,0.0,8.78,0.92,0.0,0.0,0.0,1.47,0.0,0.13,8.22,0.0,1.14,10.84,0.0,8.1,3.66,0.0,1.08,0.0,0.0,10.12,0.0,2.61,0.64,0.0,52.95,0.29,2.07,1.8,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.71,2.78,2.51,0.85,7.11,0.0,4.0,0.0,0.62,1.64,0.13,0.0,0.0,2.46,0.0,0.0,1.27,0.85,0.0,0.12,0.0
37,0.0,21.63,0.92,2.32,3.89,0.0,1.2,0.2,0.06,0.09,0.45,1.79,1.81,0.0,1.9,1.04,0.0,2.31,0.0,0.0,60.74,0.0,0.26,0.03,0.0,0.55,0.33,1.56,1.21,1.75,0.91,0.92,0.92,0.17,0.0,1.04,0.0,0.0,0.08,0.47,2.64,0.0,0.26,0.0,0.9,0.0,0.0,0.15,0.0,0.14,0.1,0.18,0.03,2.62,1.57,0.56,0.0,0.45,0.0,0.0,0.0,0.0,4.66
38,0.0,33.72,5.1,0.0,1.42,0.0,0.61,2.0,0.85,0.0,0.0,1.19,3.56,1.42,4.22,6.21,5.67,2.77,0.0,0.0,0.0,1.15,0.92,4.13,6.34,1.54,2.99,0.0,0.0,0.0,4.2,1.18,0.0,0.78,0.7,0.0,0.59,1.64,0.0,0.61,0.67,4.95,0.0,60.24,1.14,0.0,1.06,0.0,0.0,0.44,2.63,1.98,0.66,2.02,0.0,0.0,2.04,4.1,0.79,0.0,0.0,0.0,0.0
39,25.36,39.58,11.59,0.65,13.82,4.16,0.0,0.0,1.18,8.65,2.69,4.03,3.1,0.0,29.05,6.44,0.0,9.91,0.0,3.93,0.0,0.0,0.23,0.0,3.31,7.23,20.36,7.98,11.75,0.0,0.0,4.57,0.0,5.25,1.97,0.0,0.0,1.08,0.0,0.0,1.96,0.0,0.0,0.0,2.21,0.0,0.0,0.0,4.64,3.12,0.0,0.0,4.06,5.18,30.85,0.0,17.22,14.3,8.0,5.72,8.17,8.78,1.69
40,4.18,17.9,7.26,16.65,0.0,10.9,0.0,0.0,0.0,2.19,0.0,1.29,20.07,7.7,0.0,0.0,15.94,0.7,7.17,0.0,5.48,1.44,9.71,0.0,0.0,12.85,0.0,1.28,0.0,0.0,3.4,0.0,5.08,4.08,0.0,6.18,0.0,0.0,12.13,0.0,0.0,0.0,2.82,13.54,7.3,56.48,5.49,2.56,0.0,7.14,0.0,0.0,4.81,0.0,0.0,14.82,0.0,1.85,0.0,0.0,0.0,0.0,2.74
41,0.0,33.17,3.42,26.34,0.0,0.0,0.0,0.0,17.31,0.0,0.28,0.0,6.07,0.0,0.0,0.0,0.0,0.0,3.02,0.0,4.4,0.0,0.0,0.14,0.0,0.23,0.0,3.52,0.0,0.0,0.0,2.08,1.36,6.99,2.24,0.0,5.67,1.09,0.0,0.0,0.0,0.71,0.0,0.0,0.0,9.73,0.03,2.29,0.0,0.0,6.18,1.41,2.8,0.0,0.0,0.0,0.0,29.33,2.34,0.89,5.39,0.15,0.67
42,0.0,65.32,8.1,0.0,22.03,5.9,0.0,0.0,4.25,7.96,0.0,15.16,2.12,26.86,10.98,0.0,38.34,33.36,0.22,0.0,0.0,0.0,22.16,0.0,0.0,0.0,0.0,61.17,0.0,0.0,0.0,6.17,0.0,0.0,7.13,3.61,13.05,0.0,0.0,0.0,25.52,21.94,0.0,0.89,0.0,4.69,2.71,0.0,0.0,0.0,0.0,19.81,0.0,0.0,2.04,1.63,31.9,3.15,5.17,0.0,0.0,5.93,0.0
43,0.0,44.92,6.39,0.81,5.74,3.29,5.97,0.0,8.24,0.0,0.0,0.0,0.0,2.85,0.0,17.26,22.06,0.0,0.0,4.49,6.23,0.0,3.13,0.0,4.6,0.0,0.0,9.32,22.45,12.28,1.46,10.38,0.0,2.51,0.0,8.76,0.0,0.29,0.0,0.0,0.0,0.02,4.39,26.46,6.13,4.82,11.77,4.52,10.43,1.28,0.0,0.0,4.87,17.57,5.12,4.56,47.79,0.0,0.0,0.0,1.38,0.0,5.02
44,2.18,33.21,0.0,3.25,3.35,1.78,0.0,0.0,1.3,0.0,3.23,5.5,11.12,0.0,1.08,0.0,5.63,1.03,8.16,2.06,0.78,0.1,0.0,1.55,0.0,8.22,0.0,4.39,0.0,0.0,0.0,2.61,0.0,0.0,0.0,0.09,58.35,0.0,1.04,0.0,0.92,10.69,0.0,5.69,0.0,0.0,0.0,0.0,3.71,4.47,0.0,0.0,0.53,0.64,0.0,0.0,0.0,1.75,12.16,1.65,0.46,0.83,2.9
45,0.0,18.61,0.57,30.15,0.0,0.0,0.0,4.25,0.42,0.07,0.0,3.6,5.09,0.0,1.07,0.0,0.0,2.38,1.07,0.0,2.04,0.0,0.0,0.0,0.0,0.0,4.09,0.0,1.7,3.16,6.68,3.39,0.0,41.1,0.47,0.0,0.0,8.28,0.43,0.26,0.0,0.0,0.0,0.0,0.0,1.14,5.34,0.0,0.51,0.0,0.0,0.0,3.55,2.11,0.0,0.0,0.24,1.82,0.36,0.0,0.0,1.54,3.48
